"fn","calls","time_inclusive_s","time_self_s","mem_sum_bytes","mem_peak_bytes"
"datatreat",1,0.640000000000001,0.190000000000012,491688,491688
"datatreat_cpp",1,0.449999999999989,0.449999999999989,81240,81240
"buildA_ploidy2_cpp",1,0.390000000000001,0.390000000000001,200000768,200000768
